DATE;PRES;IGRO;RAFF;RAIN;TERM;DIRV;RADD;VELV;PV_PRODUCTION;
24/02/2016 09:00;948.0;64.0;3.8;0.0;8.0;34.0;215.0;1.0;1993;
24/02/2016 10:00;948.5;53.0;3.4;0.0;9.0;89.0;376.0;2.0;4771;
24/02/2016 11:00;948.6;40.0;3.0;0.0;10.0;30.0;514.0;0.0;8786;
24/02/2016 12:00;948.7;51.0;4.5;0.0;11.0;356.0;431.0;2.0;10348;
24/02/2016 13:00;948.5;56.0;5.3;0.0;10.0;29.0;605.0;2.0;11013;
24/02/2016 14:00;947.7;37.0;4.7;0.0;11.0;34.0;524.0;1.0;12229;
24/02/2016 15:00;947.4;30.0;5.0;0.0;11.0;45.0;496.0;2.0;11472;
24/02/2016 16:00;947.4;30.0;4.1;0.0;11.0;33.0;376.0;1.0;8416;
24/02/2016 17:00;947.1;29.0;3.7;0.0;11.0;35.0;170.0;1.0;2789;
24/02/2016 18:00;947.1;41.0;3.4;0.0;10.0;13.0;0.0;1.0;1610;
24/02/2016 19:00;947.6;56.0;2.9;0.0;9.0;342.0;0.0;1.0;50;
24/02/2016 20:00;947.7;54.0;3.0;0.0;8.0;270.0;0.0;2.0;0;
24/02/2016 21:00;947.9;63.0;3.3;0.0;7.0;331.0;0.0;1.0;0;
24/02/2016 22:00;947.9;70.0;3.3;0.0;6.0;325.0;0.0;1.0;0;
24/02/2016 23:00;947.7;80.0;3.6;0.0;6.0;340.0;0.0;1.0;0;
25/02/2016 00:00;947.6;81.0;1.5;0.0;6.0;345.0;0.0;0.0;0;
25/02/2016 01:00;947.4;81.0;1.8;0.0;6.0;342.0;0.0;1.0;0;
25/02/2016 02:00;947.1;77.0;1.7;0.0;6.0;264.0;0.0;1.0;0;
25/02/2016 03:00;946.6;83.0;2.3;0.0;6.0;212.0;0.0;1.0;0;
25/02/2016 04:00;946.0;82.0;3.0;0.0;6.0;111.0;0.0;0.0;0;
25/02/2016 05:00;945.7;80.0;1.9;0.0;5.0;331.0;0.0;0.0;0;
25/02/2016 06:00;945.4;81.0;2.0;0.0;5.0;342.0;0.0;1.0;0;
25/02/2016 07:00;945.2;81.0;1.8;0.0;5.0;14.0;0.0;0.0;0;
25/02/2016 08:00;945.3;81.0;2.2;0.0;5.0;350.0;0.0;0.0;158;
25/02/2016 09:00;945.5;81.0;1.7;0.0;5.0;127.0;13.0;1.0;436;
25/02/2016 10:00;945.5;84.0;1.9;0.0;5.0;330.0;51.0;1.0;1257;
25/02/2016 11:00;945.2;82.0;1.9;0.0;5.0;10.0;78.0;0.0;2335;
25/02/2016 12:00;944.8;80.0;2.3;0.0;5.0;106.0;71.0;0.0;2731;
25/02/2016 13:00;944.3;75.0;2.3;0.0;6.0;46.0;137.0;1.0;3079;
25/02/2016 14:00;943.7;71.0;4.0;0.0;6.0;44.0;99.0;1.0;3080;
25/02/2016 15:00;943.2;78.0;2.9;0.0;6.0;46.0;112.0;1.0;2434;
25/02/2016 16:00;943.0;75.0;2.8;0.0;6.0;58.0;53.0;1.0;1125;
25/02/2016 17:00;942.5;82.0;2.9;0.0;6.0;27.0;0.0;1.0;674;
25/02/2016 18:00;942.5;83.0;2.8;0.0;6.0;52.0;0.0;1.0;309;
25/02/2016 19:00;942.9;84.0;2.3;0.0;6.0;30.0;0.0;0.0;16;
25/02/2016 20:00;942.9;86.0;2.1;0.0;5.0;59.0;0.0;0.0;0;
25/02/2016 21:00;943.0;88.0;1.7;0.0;5.0;100.0;0.0;0.0;0;
25/02/2016 22:00;942.9;90.0;1.2;0.0;5.0;180.0;0.0;0.0;0;
25/02/2016 23:00;942.7;90.0;1.1;0.0;5.0;220.0;0.0;0.0;0;
26/02/2016 00:00;942.5;93.0;1.9;0.0;5.0;260.0;0.0;0.0;0;
26/02/2016 01:00;942.5;95.0;2.1;0.0;5.0;268.0;0.0;1.0;0;
26/02/2016 02:00;942.4;95.0;1.3;0.0;5.0;219.0;0.0;0.0;0;
26/02/2016 03:00;942.2;95.0;2.2;0.0;4.0;335.0;0.0;1.0;0;
26/02/2016 04:00;941.9;97.0;3.3;0.0;3.0;223.0;0.0;1.0;0;
26/02/2016 05:00;942.0;97.0;4.0;0.0;3.0;239.0;0.0;2.0;0;
26/02/2016 06:00;942.2;97.0;3.8;0.0;3.0;238.0;0.0;1.0;0;
26/02/2016 07:00;942.4;96.0;3.6;0.0;3.0;230.0;0.0;0.0;0;
26/02/2016 08:00;942.6;90.0;2.8;0.0;3.0;237.0;76.0;1.0;364;
26/02/2016 09:00;943.2;77.0;3.4;0.0;5.0;131.0;241.0;0.0;2469;
26/02/2016 10:00;943.5;68.0;2.1;0.0;7.0;25.0;418.0;1.0;5549;
26/02/2016 11:00;943.7;63.0;3.0;0.0;7.0;42.0;536.0;1.0;8209;
26/02/2016 12:00;943.8;55.0;4.3;0.0;8.0;59.0;579.0;2.0;10328;
26/02/2016 13:00;943.7;60.0;4.4;0.0;8.0;88.0;228.0;1.0;9153;
26/02/2016 14:00;943.0;62.0;4.5;0.0;8.0;31.0;185.0;2.0;7063;
26/02/2016 15:00;942.7;67.0;5.1;0.0;8.0;48.0;145.0;1.0;6090;
26/02/2016 16:00;942.5;73.0;5.4;0.0;7.0;21.0;51.0;2.0;3936;
26/02/2016 17:00;942.2;74.0;4.8;0.0;7.0;43.0;0.0;1.0;1363;
26/02/2016 18:00;942.1;83.0;2.4;0.0;6.0;101.0;0.0;1.0;346;
26/02/2016 19:00;942.6;85.0;2.8;0.0;5.0;105.0;0.0;1.0;24;
26/02/2016 20:00;942.5;83.0;2.1;0.0;5.0;59.0;0.0;1.0;0;
26/02/2016 21:00;942.5;90.0;3.8;0.0;5.0;53.0;0.0;1.0;0;
26/02/2016 22:00;942.4;98.0;2.5;0.0;4.0;337.0;0.0;1.0;0;
26/02/2016 23:00;942.2;100.0;2.2;0.4;4.0;328.0;0.0;1.0;0;
